Anu,101,15,91,92,95,97,96
Ravi,102,16,85,88,90,91,94
Priya,103,15,90,89,95,92,96
Arun,104,16,78,82,85,88,90
Divya,105,15,95,94,92,96,98
Karthik,106,17,80,85,83,87,89
Meena,107,16,88,90,91,86,92
Vijay,108,17,75,79,82,85,88
Sneha,109,15,92,94,90,93,95
Rahul,110,16,84,87,89,91,90
Nisha,111,15,96,95,94,97,99
Arjun,112,17,81,83,85,87,89
Kavya,113,16,89,91,88,92,94
Sanjay,114,17,76,80,79,84,86
Pooja,115,15,93,90,95,94,96
Manoj,116,16,82,85,88,86,90
Aishwarya,117,15,97,96,98,95,99
Deepak,118,17,74,78,80,82,85
Swetha,119,16,91,89,93,94,92
Vimal,120,17,79,83,81,86,88
Harini,121,15,94,92,96,95,97
Gokul,122,16,86,88,84,90,91
Lakshmi,123,15,90,93,89,95,94
Suresh,124,17,77,81,84,80,86
Keerthi,125,16,95,97,94,96,98
Prakash,126,17,83,85,87,89,91
Anjali,127,15,88,92,90,94,96
Mohan,128,16,80,82,85,87,89
Riya,129,15,92,91,95,93,97
Dinesh,130,17,75,80,83,86,88
